token                              over                                     scheme   ratio floor  verdict
accent.amber.fg                    apple-sidebar                            dark      6.35   4.5  pass
accent.amber.fg                    android-surface                          dark      9.59   4.5  pass
accent.amber.fg                    react-bg                                 dark     10.71   4.5  pass
accent.amber.fg                    react-pane                               dark     10.34   4.5  pass
accent.amber.fg                    react-hover                              dark      8.73   4.5  pass
accent.amber.fg                    watch                                    dark     11.76   4.5  pass
accent.amber.fill                  apple-row                                dark      9.53   3.0  pass
accent.amber.fill                  apple-form                               dark      7.80   3.0  pass
accent.amber.fill                  apple-grouped                            dark      9.53   3.0  pass
accent.amber.fill                  apple-sidebar                            dark      6.35   3.0  pass
accent.amber.fill                  android-surface                          dark      9.59   3.0  pass
accent.amber.fill                  react-bg                                 dark     10.71   3.0  pass
accent.amber.fill                  react-pane                               dark     10.34   3.0  pass
accent.amber.fill                  react-hover                              dark      8.73   3.0  pass
accent.amber.fill                  watch                                    dark     11.76   3.0  pass
accent.amber.on-fill               accent.amber.fill                        dark     11.03   4.5  pass
accent.plum.fg                     apple-row                                dark      8.09   4.5  pass
accent.plum.fg                     apple-form                               dark      6.63   4.5  pass
accent.plum.fg                     apple-grouped                            dark      8.09   4.5  pass
accent.plum.fg                     apple-sidebar                            dark      5.40   4.5  pass
accent.plum.fg                     android-surface                          dark      8.15   4.5  pass
accent.plum.fg                     react-bg                                 dark      9.10   4.5  pass
accent.plum.fg                     react-pane                               dark      8.78   4.5  pass
accent.plum.fg                     react-hover                              dark      7.41   4.5  pass
accent.plum.fg                     watch                                    dark      9.99   4.5  pass
accent.plum.fill                   apple-row                                dark      8.09   3.0  pass
accent.plum.fill                   apple-form                               dark      6.63   3.0  pass
accent.plum.fill                   apple-grouped                            dark      8.09   3.0  pass
accent.plum.fill                   apple-sidebar                            dark      5.40   3.0  pass
accent.plum.fill                   android-surface                          dark      8.15   3.0  pass
accent.plum.fill                   react-bg                                 dark      9.10   3.0  pass
accent.plum.fill                   react-pane                               dark      8.78   3.0  pass
accent.plum.fill                   react-hover                              dark      7.41   3.0  pass
accent.plum.fill                   watch                                    dark      9.99   3.0  pass
accent.plum.on-fill                accent.plum.fill                         dark      9.37   4.5  pass
success.fg                         apple-row                                dark      9.62   4.5  pass
success.fg                         apple-form                               dark      7.88   4.5  pass
success.fg                         apple-grouped                            dark      9.62   4.5  pass
success.fg                         apple-sidebar                            dark      6.41   4.5  pass
success.fg                         android-surface                          dark      9.68   4.5  pass
success.fg                         react-bg                                 dark     10.81   4.5  pass
success.fg                         react-pane                               dark     10.44   4.5  pass
success.fg                         react-hover                              dark      8.81   4.5  pass
success.fg                         watch                                    dark     11.87   4.5  pass
success.fg                         success.wash@apple-row                   dark      7.53   4.5  pass
success.fg                         success.wash@apple-form                  dark      6.04   4.5  pass
success.fg                         success.wash@android-surface             dark      7.52   4.5  pass
success.fg                         success.wash@react-pane                  dark      8.27   4.5  pass
success.fg                         success.wash@watch                       dark     10.10   4.5  pass
success.fill                       apple-row                                dark      9.62   3.0  pass
success.fill                       apple-form                               dark      7.88   3.0  pass
success.fill                       apple-grouped                            dark      9.62   3.0  pass
success.fill                       apple-sidebar                            dark      6.41   3.0  pass
success.fill                       android-surface                          dark      9.68   3.0  pass
success.fill                       react-bg                                 dark     10.81   3.0  pass
success.fill                       react-pane                               dark     10.44   3.0  pass
success.fill                       react-hover                              dark      8.81   3.0  pass
success.fill                       watch                                    dark     11.87   3.0  pass
success.on-fill                    success.fill                             dark     11.14   4.5  pass
warning.fg                         apple-row                                dark      8.79   4.5  pass
warning.fg                         apple-form                               dark      7.20   4.5  pass
warning.fg                         apple-grouped                            dark      8.79   4.5  pass
warning.fg                         apple-sidebar                            dark      5.86   4.5  pass
warning.fg                         android-surface                          dark      8.85   4.5  pass
warning.fg                         react-bg                                 dark      9.88   4.5  pass
warning.fg                         react-pane                               dark      9.54   4.5  pass
warning.fg                         react-hover                              dark      8.05   4.5  pass
warning.fg                         watch                                    dark     10.85   4.5  pass
warning.fg                         warning.wash@apple-row                   dark      6.94   4.5  pass
warning.fg                         warning.wash@apple-form                  dark      5.63   4.5  pass
warning.fg                         warning.wash@android-surface             dark      7.00   4.5  pass
warning.fg                         warning.wash@react-pane                  dark      7.64   4.5  pass
warning.fg                         warning.wash@watch                       dark      9.33   4.5  pass
warning.fill                       apple-row                                dark      8.79   3.0  pass
warning.fill                       apple-form                               dark      7.20   3.0  pass
warning.fill                       apple-grouped                            dark      8.79   3.0  pass
warning.fill                       apple-sidebar                            dark      5.86   3.0  pass
warning.fill                       android-surface                          dark      8.85   3.0  pass
warning.fill                       react-bg                                 dark      9.88   3.0  pass
warning.fill                       react-pane                               dark      9.54   3.0  pass
warning.fill                       react-hover                              dark      8.05   3.0  pass
warning.fill                       watch                                    dark     10.85   3.0  pass
warning.on-fill                    warning.fill                             dark     10.18   4.5  pass
danger.fg                          apple-row                                dark      7.83   4.5  pass
danger.fg                          apple-form                               dark      6.41   4.5  pass
danger.fg                          apple-grouped                            dark      7.83   4.5  pass
danger.fg                          apple-sidebar                            dark      5.22   4.5  pass
danger.fg                          android-surface                          dark      7.88   4.5  pass
danger.fg                          react-bg                                 dark      8.80   4.5  pass
danger.fg                          react-pane                               dark      8.50   4.5  pass
danger.fg                          react-hover                              dark      7.17   4.5  pass
danger.fg                          watch                                    dark      9.66   4.5  pass
danger.fg                          danger.wash@apple-row                    dark      6.32   4.5  pass
danger.fg                          danger.wash@apple-form                   dark      5.15   4.5  pass
danger.fg                          danger.wash@android-surface              dark      6.37   4.5  pass
danger.fg                          danger.wash@react-pane                   dark      6.96   4.5  pass
danger.fg                          danger.wash@watch                        dark      8.43   4.5  pass
danger.fill                        apple-row                                dark      7.83   3.0  pass
danger.fill                        apple-form                               dark      6.41   3.0  pass
danger.fill                        apple-grouped                            dark      7.83   3.0  pass
danger.fill                        apple-sidebar                            dark      5.22   3.0  pass
danger.fill                        android-surface                          dark      7.88   3.0  pass
danger.fill                        react-bg                                 dark      8.80   3.0  pass
danger.fill                        react-pane                               dark      8.50   3.0  pass
danger.fill                        react-hover                              dark      7.17   3.0  pass
danger.fill                        watch                                    dark      9.66   3.0  pass
danger.on-fill                     danger.fill                              dark      9.07   4.5  pass
info.fg                            apple-row                                dark      9.05   4.5  pass
info.fg                            apple-form                               dark      7.41   4.5  pass
info.fg                            apple-grouped                            dark      9.05   4.5  pass
info.fg                            apple-sidebar                            dark      6.04   4.5  pass
info.fg                            android-surface                          dark      9.11   4.5  pass
info.fg                            react-bg                                 dark     10.17   4.5  pass
info.fg                            react-pane                               dark      9.82   4.5  pass
info.fg                            react-hover                              dark      8.29   4.5  pass
info.fg                            watch                                    dark     11.17   4.5  pass
info.fg                            info.wash@apple-row                      dark      7.10   4.5  pass
info.fg                            info.wash@apple-form                     dark      5.77   4.5  pass
info.fg                            info.wash@android-surface                dark      7.17   4.5  pass
info.fg                            info.wash@react-pane                     dark      7.88   4.5  pass
info.fg                            info.wash@watch                          dark      9.61   4.5  pass
info.fill                          apple-row                                dark      9.05   3.0  pass
info.fill                          apple-form                               dark      7.41   3.0  pass
info.fill                          apple-grouped                            dark      9.05   3.0  pass
info.fill                          apple-sidebar                            dark      6.04   3.0  pass
info.fill                          android-surface                          dark      9.11   3.0  pass
info.fill                          react-bg                                 dark     10.17   3.0  pass
info.fill                          react-pane                               dark      9.82   3.0  pass
info.fill                          react-hover                              dark      8.29   3.0  pass
info.fill                          watch                                    dark     11.17   3.0  pass
info.on-fill                       info.fill                                dark     10.48   4.5  pass
flagged.fg                         apple-row                                dark     10.65   4.5  pass
flagged.fg                         apple-form                               dark      8.72   4.5  pass
flagged.fg                         apple-grouped                            dark     10.65   4.5  pass
flagged.fg                         apple-sidebar                            dark      7.10   4.5  pass
flagged.fg                         android-surface                          dark     10.72   4.5  pass
flagged.fg                         react-bg                                 dark     11.97   4.5  pass
flagged.fg                         react-pane                               dark     11.56   4.5  pass
flagged.fg                         react-hover                              dark      9.75   4.5  pass
flagged.fg                         watch                                    dark     13.14   4.5  pass
flagged.fg                         flagged.wash@apple-row                   dark      8.17   4.5  pass
flagged.fg                         flagged.wash@apple-form                  dark      6.62   4.5  pass
flagged.fg                         flagged.wash@android-surface             dark      8.24   4.5  pass
flagged.fg                         flagged.wash@react-pane                  dark      9.05   4.5  pass
flagged.fg                         flagged.wash@watch                       dark     11.05   4.5  pass
flagged.fill                       apple-row                                dark     10.65   3.0  pass
flagged.fill                       apple-form                               dark      8.72   3.0  pass
flagged.fill                       apple-grouped                            dark     10.65   3.0  pass
flagged.fill                       apple-sidebar                            dark      7.10   3.0  pass
flagged.fill                       android-surface                          dark     10.72   3.0  pass
flagged.fill                       react-bg                                 dark     11.97   3.0  pass
flagged.fill                       react-pane                               dark     11.56   3.0  pass
flagged.fill                       react-hover                              dark      9.75   3.0  pass
flagged.fill                       watch                                    dark     13.14   3.0  pass
flagged.on-fill                    flagged.fill                             dark     12.33   4.5  pass
flag.red                           apple-row                                dark      7.91   3.0  pass
flag.red                           apple-form                               dark      6.48   3.0  pass
flag.red                           apple-grouped                            dark      7.91   3.0  pass
flag.red                           apple-sidebar                            dark      5.27   3.0  pass
flag.red                           android-surface                          dark      7.96   3.0  pass
flag.red                           react-bg                                 dark      8.89   3.0  pass
flag.red                           react-pane                               dark      8.58   3.0  pass
flag.red                           react-hover                              dark      7.24   3.0  pass
flag.red                           watch                                    dark      9.76   3.0  pass
flag.orange                        apple-row                                dark      9.83   3.0  pass
flag.orange                        apple-form                               dark      8.05   3.0  pass
flag.orange                        apple-grouped                            dark      9.83   3.0  pass
flag.orange                        apple-sidebar                            dark      6.56   3.0  pass
flag.orange                        android-surface                          dark      9.90   3.0  pass
flag.orange                        react-bg                                 dark     11.05   3.0  pass
flag.orange                        react-pane                               dark     10.67   3.0  pass
flag.orange                        react-hover                              dark      9.00   3.0  pass
flag.orange                        watch                                    dark     12.13   3.0  pass
flag.yellow                        apple-row                                dark     12.06   3.0  pass
flag.yellow                        apple-form                               dark      9.88   3.0  pass
flag.yellow                        apple-grouped                            dark     12.06   3.0  pass
flag.yellow                        apple-sidebar                            dark      8.04   3.0  pass
flag.yellow                        android-surface                          dark     12.14   3.0  pass
flag.yellow                        react-bg                                 dark     13.55   3.0  pass
flag.yellow                        react-pane                               dark     13.09   3.0  pass
flag.yellow                        react-hover                              dark     11.04   3.0  pass
flag.yellow                        watch                                    dark     14.88   3.0  pass
flag.green                         apple-row                                dark      8.46   3.0  pass
flag.green                         apple-form                               dark      6.93   3.0  pass
flag.green                         apple-grouped                            dark      8.46   3.0  pass
flag.green                         apple-sidebar                            dark      5.64   3.0  pass
flag.green                         android-surface                          dark      8.51   3.0  pass
flag.green                         react-bg                                 dark      9.50   3.0  pass
flag.green                         react-pane                               dark      9.18   3.0  pass
flag.green                         react-hover                              dark      7.74   3.0  pass
flag.green                         watch                                    dark     10.44   3.0  pass
flag.teal                          apple-row                                dark      6.97   3.0  pass
flag.teal                          apple-form                               dark      5.71   3.0  pass
flag.teal                          apple-grouped                            dark      6.97   3.0  pass
flag.teal                          apple-sidebar                            dark      4.65   3.0  pass
flag.teal                          android-surface                          dark      7.02   3.0  pass
flag.teal                          react-bg                                 dark      7.83   3.0  pass
flag.teal                          react-pane                               dark      7.57   3.0  pass
flag.teal                          react-hover                              dark      6.38   3.0  pass
flag.teal                          watch                                    dark      8.60   3.0  pass
flag.blue                          apple-row                                dark      7.68   3.0  pass
flag.blue                          apple-form                               dark      6.29   3.0  pass
flag.blue                          apple-grouped                            dark      7.68   3.0  pass
flag.blue                          apple-sidebar                            dark      5.12   3.0  pass
flag.blue                          android-surface                          dark      7.73   3.0  pass
flag.blue                          react-bg                                 dark      8.64   3.0  pass
flag.blue                          react-pane                               dark      8.34   3.0  pass
flag.blue                          react-hover                              dark      7.04   3.0  pass
flag.blue                          watch                                    dark      9.48   3.0  pass
flag.indigo                        apple-row                                dark      9.14   3.0  pass
flag.indigo                        apple-form                               dark      7.48   3.0  pass
flag.indigo                        apple-grouped                            dark      9.14   3.0  pass
flag.indigo                        apple-sidebar                            dark      6.09   3.0  pass
flag.indigo                        android-surface                          dark      9.20   3.0  pass
flag.indigo                        react-bg                                 dark     10.27   3.0  pass
flag.indigo                        react-pane                               dark      9.92   3.0  pass
flag.indigo                        react-hover                              dark      8.37   3.0  pass
flag.indigo                        watch                                    dark     11.28   3.0  pass
flag.purple                        apple-row                                dark      8.52   3.0  pass
flag.purple                        apple-form                               dark      6.98   3.0  pass
flag.purple                        apple-grouped                            dark      8.52   3.0  pass
flag.purple                        apple-sidebar                            dark      5.68   3.0  pass
flag.purple                        android-surface                          dark      8.58   3.0  pass
flag.purple                        react-bg                                 dark      9.58   3.0  pass
flag.purple                        react-pane                               dark      9.25   3.0  pass
flag.purple                        react-hover                              dark      7.80   3.0  pass
flag.purple                        watch                                    dark     10.51   3.0  pass
flag.pink                          apple-row                                dark      7.62   3.0  pass
flag.pink                          apple-form                               dark      6.25   3.0  pass
flag.pink                          apple-grouped                            dark      7.62   3.0  pass
flag.pink                          apple-sidebar                            dark      5.09   3.0  pass
flag.pink                          android-surface                          dark      7.68   3.0  pass
flag.pink                          react-bg                                 dark      8.57   3.0  pass
flag.pink                          react-pane                               dark      8.28   3.0  pass
flag.pink                          react-hover                              dark      6.98   3.0  pass
flag.pink                          watch                                    dark      9.41   3.0  pass
flag.gray                          apple-row                                dark      9.06   3.0  pass
flag.gray                          apple-form                               dark      7.42   3.0  pass
flag.gray                          apple-grouped                            dark      9.06   3.0  pass
flag.gray                          apple-sidebar                            dark      6.04   3.0  pass
flag.gray                          android-surface                          dark      9.12   3.0  pass
flag.gray                          react-bg                                 dark     10.18   3.0  pass
flag.gray                          react-pane                               dark      9.83   3.0  pass
flag.gray                          react-hover                              dark      8.29   3.0  pass
flag.gray                          watch                                    dark     11.18   3.0  pass
swatch.rose                        apple-row                                dark      9.33   1.0  pass
swatch.rose                        apple-form                               dark      7.64   1.0  pass
swatch.rose                        apple-grouped                            dark      9.33   1.0  pass
swatch.rose                        apple-sidebar                            dark      6.23   1.0  pass
swatch.rose                        android-surface                          dark      9.40   1.0  pass
swatch.rose                        android-variant                          dark      5.13   1.0  pass
swatch.rose                        react-bg                                 dark     10.49   1.0  pass
swatch.rose                        react-pane                               dark     10.13   1.0  pass
swatch.rose                        react-hover                              dark      8.55   1.0  pass
swatch.rose                        watch                                    dark     11.52   1.0  pass
swatch.sage                        apple-row                                dark     10.24   1.0  pass
swatch.sage                        apple-form                               dark      8.39   1.0  pass
swatch.sage                        apple-grouped                            dark     10.24   1.0  pass
swatch.sage                        apple-sidebar                            dark      6.83   1.0  pass
swatch.sage                        android-surface                          dark     10.31   1.0  pass
swatch.sage                        android-variant                          dark      5.62   1.0  pass
swatch.sage                        react-bg                                 dark     11.51   1.0  pass
swatch.sage                        react-pane                               dark     11.12   1.0  pass
swatch.sage                        react-hover                              dark      9.38   1.0  pass
swatch.sage                        watch                                    dark     12.64   1.0  pass
swatch.sand                        apple-row                                dark     11.54   1.0  pass
swatch.sand                        apple-form                               dark      9.46   1.0  pass
swatch.sand                        apple-grouped                            dark     11.54   1.0  pass
swatch.sand                        apple-sidebar                            dark      7.70   1.0  pass
swatch.sand                        android-surface                          dark     11.62   1.0  pass
swatch.sand                        android-variant                          dark      6.34   1.0  pass
swatch.sand                        react-bg                                 dark     12.98   1.0  pass
swatch.sand                        react-pane                               dark     12.53   1.0  pass
swatch.sand                        react-hover                              dark     10.57   1.0  pass
swatch.sand                        watch                                    dark     14.25   1.0  pass
swatch.sky                         apple-row                                dark     10.21   1.0  pass
swatch.sky                         apple-form                               dark      8.36   1.0  pass
swatch.sky                         apple-grouped                            dark     10.21   1.0  pass
swatch.sky                         apple-sidebar                            dark      6.81   1.0  pass
swatch.sky                         android-surface                          dark     10.28   1.0  pass
swatch.sky                         android-variant                          dark      5.61   1.0  pass
swatch.sky                         react-bg                                 dark     11.48   1.0  pass
swatch.sky                         react-pane                               dark     11.08   1.0  pass
swatch.sky                         react-hover                              dark      9.35   1.0  pass
swatch.sky                         watch                                    dark     12.60   1.0  pass
swatch.terracotta                  apple-row                                dark      8.77   1.0  pass
swatch.terracotta                  apple-form                               dark      7.18   1.0  pass
swatch.terracotta                  apple-grouped                            dark      8.77   1.0  pass
swatch.terracotta                  apple-sidebar                            dark      5.85   1.0  pass
swatch.terracotta                  android-surface                          dark      8.83   1.0  pass
swatch.terracotta                  android-variant                          dark      4.82   1.0  pass
swatch.terracotta                  react-bg                                 dark      9.86   1.0  pass
swatch.terracotta                  react-pane                               dark      9.52   1.0  pass
swatch.terracotta                  react-hover                              dark      8.03   1.0  pass
swatch.terracotta                  watch                                    dark     10.83   1.0  pass
swatch.lavender                    apple-row                                dark      9.53   1.0  pass
swatch.lavender                    apple-form                               dark      7.81   1.0  pass
swatch.lavender                    apple-grouped                            dark      9.53   1.0  pass
swatch.lavender                    apple-sidebar                            dark      6.36   1.0  pass
swatch.lavender                    android-surface                          dark      9.60   1.0  pass
swatch.lavender                    android-variant                          dark      5.23   1.0  pass
swatch.lavender                    react-bg                                 dark     10.71   1.0  pass
swatch.lavender                    react-pane                               dark     10.35   1.0  pass
swatch.lavender                    react-hover                              dark      8.73   1.0  pass
swatch.lavender                    watch                                    dark     11.76   1.0  pass
swatch.teal                        apple-row                                dark      9.88   1.0  pass
swatch.teal                        apple-form                               dark      8.09   1.0  pass
swatch.teal                        apple-grouped                            dark      9.88   1.0  pass
swatch.teal                        apple-sidebar                            dark      6.59   1.0  pass
swatch.teal                        android-surface                          dark      9.95   1.0  pass
swatch.teal                        android-variant                          dark      5.43   1.0  pass
swatch.teal                        react-bg                                 dark     11.11   1.0  pass
swatch.teal                        react-pane                               dark     10.72   1.0  pass
swatch.teal                        react-hover                              dark      9.05   1.0  pass
swatch.teal                        watch                                    dark     12.19   1.0  pass
swatch.peach                       apple-row                                dark     10.61   1.0  pass
swatch.peach                       apple-form                               dark      8.69   1.0  pass
swatch.peach                       apple-grouped                            dark     10.61   1.0  pass
swatch.peach                       apple-sidebar                            dark      7.08   1.0  pass
swatch.peach                       android-surface                          dark     10.69   1.0  pass
swatch.peach                       android-variant                          dark      5.83   1.0  pass
swatch.peach                       react-bg                                 dark     11.93   1.0  pass
swatch.peach                       react-pane                               dark     11.52   1.0  pass
swatch.peach                       react-hover                              dark      9.72   1.0  pass
swatch.peach                       watch                                    dark     13.10   1.0  pass
swatch.moss                        apple-row                                dark      9.25   1.0  pass
swatch.moss                        apple-form                               dark      7.57   1.0  pass
swatch.moss                        apple-grouped                            dark      9.25   1.0  pass
swatch.moss                        apple-sidebar                            dark      6.17   1.0  pass
swatch.moss                        android-surface                          dark      9.31   1.0  pass
swatch.moss                        android-variant                          dark      5.08   1.0  pass
swatch.moss                        react-bg                                 dark     10.39   1.0  pass
swatch.moss                        react-pane                               dark     10.04   1.0  pass
swatch.moss                        react-hover                              dark      8.47   1.0  pass
swatch.moss                        watch                                    dark     11.41   1.0  pass
swatch.taupe                       apple-row                                dark      9.68   1.0  pass
swatch.taupe                       apple-form                               dark      7.93   1.0  pass
swatch.taupe                       apple-grouped                            dark      9.68   1.0  pass
swatch.taupe                       apple-sidebar                            dark      6.46   1.0  pass
swatch.taupe                       android-surface                          dark      9.75   1.0  pass
swatch.taupe                       android-variant                          dark      5.32   1.0  pass
swatch.taupe                       react-bg                                 dark     10.88   1.0  pass
swatch.taupe                       react-pane                               dark     10.51   1.0  pass
swatch.taupe                       react-hover                              dark      8.87   1.0  pass
swatch.taupe                       watch                                    dark     11.95   1.0  pass
swatch.ink                         swatch.rose                              dark      7.21   4.5  pass
swatch.ink                         swatch.sage                              dark      7.91   4.5  pass
swatch.ink                         swatch.sand                              dark      8.91   4.5  pass
swatch.ink                         swatch.sky                               dark      7.89   4.5  pass
swatch.ink                         swatch.terracotta                        dark      6.77   4.5  pass
swatch.ink                         swatch.lavender                          dark      7.36   4.5  pass
swatch.ink                         swatch.teal                              dark      7.63   4.5  pass
swatch.ink                         swatch.peach                             dark      8.20   4.5  pass
swatch.ink                         swatch.moss                              dark      7.14   4.5  pass
swatch.ink                         swatch.taupe                             dark      7.48   4.5  pass

all pairs clear their floors
